uid,years,minutes,sqrm,distance,renovate,express,price
13101-734,48,3,65,2.960147551,0,0,60000000
13101-735,40,1,65,2.960147551,1,0,66000000
13101-736,48,3,30,2.960147551,0,0,30000000
13101-737,48,3,105,2.960147551,1,0,96000000
13101-738,5,4,75,2.960147551,0,0,130000000
13101-739,19,3,25,2.960147551,1,0,29000000
13101-740,37,3,25,2.960147551,0,0,18000000
13101-741,16,3,85,2.960147551,0,0,140000000
13101-742,5,4,45,2.960147551,1,0,69000000
13101-743,37,3,80,2.960147551,0,0,86000000
13101-744,48,3,65,2.960147551,0,0,58000000
13101-746,16,3,50,2.960147551,1,0,100000000
13101-747,16,3,90,2.960147551,0,0,120000000
13101-748,34,3,55,2.960147551,0,0,48000000
13101-749,50,5,55,2.960147551,0,0,48000000
13101-750,49,6,30,2.960147551,1,0,24000000
13101-751,34,3,25,2.960147551,0,0,20000000
13101-752,50,5,45,2.960147551,1,0,44000000
13101-753,18,6,130,2.960147551,0,0,97000000
13101-754,50,5,55,2.960147551,0,0,45000000
13101-755,50,5,55,2.960147551,1,0,50000000
13101-756,16,4,20,2.960147551,0,0,20000000
13101-757,34,3,20,2.960147551,1,0,20000000
13101-758,34,3,20,2.960147551,1,0,23000000
13101-760,49,6,30,2.960147551,1,0,20000000
13101-808,15,5,20,1.998921954,0,1,24000000
13101-809,15,5,20,1.998921954,0,1,26000000
13101-810,8,3,35,1.998921954,0,1,32000000
13101-811,15,5,20,1.998921954,0,1,22000000
13101-813,9,6,60,1.998921954,0,1,74000000
13101-1019,6,3,55,2.983801459,0,0,82000000
13101-1021,34,6,25,2.983801459,0,0,14000000
13101-1022,23,5,55,2.983801459,1,0,70000000
13101-1023,5,5,70,2.983801459,0,0,130000000
13101-1024,23,5,55,2.983801459,1,0,70000000
13101-1025,5,3,45,2.983801459,1,0,95000000
13101-1029,5,5,70,2.983801459,0,0,130000000
13101-1030,11,3,45,2.983801459,0,0,58000000
13101-1031,23,5,55,2.983801459,0,0,61000000
13101-1032,23,5,45,2.983801459,0,0,53000000
13101-1034,5,3,70,2.983801459,0,0,150000000
13101-1037,23,5,40,2.983801459,0,0,53000000
13101-1038,23,5,55,2.983801459,0,0,69000000
13101-1041,5,5,75,2.983801459,0,0,150000000
13101-1042,5,5,70,2.983801459,0,0,110000000
13101-1048,6,2,65,2.960147551,0,0,110000000
13101-1049,6,2,85,2.960147551,1,0,130000000
13101-1050,6,2,85,2.960147551,0,0,140000000
13101-1052,5,5,60,2.960147551,0,0,110000000
13101-1053,6,2,70,2.960147551,0,0,110000000
13101-1055,6,2,65,2.960147551,1,0,110000000
13101-1057,6,2,85,2.960147551,0,0,150000000
13101-1058,16,4,90,2.960147551,0,0,130000000
13101-1059,5,5,60,2.960147551,0,0,110000000
13101-1061,5,2,60,2.960147551,0,0,110000000
13101-1070,11,4,110,3.246960267,0,1,150000000
13101-1073,11,4,55,3.246960267,0,1,87000000
13101-1074,41,4,45,3.246960267,0,1,40000000
13101-1075,35,5,85,3.246960267,0,1,110000000
13101-1076,2,5,55,3.246960267,0,1,130000000
13101-1083,18,4,75,3.246960267,0,1,110000000
13102-1127,15,2,35,0,0,1,42000000
13102-1129,15,2,35,0,0,1,49000000
13104-70,7,8,55,2.960147551,0,0,61000000
13104-71,34,11,15,2.960147551,0,0,12000000
13104-72,17,7,115,2.960147551,0,0,140000000
13104-73,16,3,20,2.960147551,0,0,23000000
13104-74,16,3,20,2.960147551,0,0,22000000
13104-75,32,8,100,2.960147551,1,0,94000000
13104-90,14,2,50,2.960147551,0,0,60000000
13104-93,7,2,60,2.960147551,0,0,75000000
13104-98,19,5,70,2.960147551,0,0,62000000
13104-99,7,2,40,2.960147551,0,0,45000000
13104-101,19,10,65,2.960147551,0,0,59000000
13104-102,19,6,55,2.960147551,0,0,55000000
13104-103,19,10,65,2.960147551,0,0,60000000
13104-104,8,5,55,2.960147551,0,0,69000000
13104-105,7,2,60,2.960147551,0,0,72000000
13104-138,2,3,60,2.960147551,0,0,80000000
13104-139,19,7,20,2.960147551,0,0,26000000
13104-140,6,7,25,2.960147551,0,0,29000000
13104-141,6,7,25,2.960147551,0,0,29000000
13104-142,16,5,40,2.960147551,0,0,50000000
13104-143,15,5,40,2.960147551,0,0,37000000
13104-144,6,7,25,2.960147551,0,0,28000000
13104-145,4,6,30,2.960147551,0,0,35000000
13104-146,19,7,20,2.960147551,0,0,16000000
13104-147,19,7,20,2.960147551,0,0,25000000
13104-148,6,7,25,2.960147551,0,0,27000000
