id,bukkenName,years,minutes,sqrm,distance,renovate,express,price,rooms,station,floar,windowFacing,address,prg-bukkenNameAnchor href,prg-lazy src,photo-https,displayContainer href,displayPic -https,raSpecRow,relatedKeywordsData,relatedKeywordsData 2,relatedKeywordsData 3,relatedKeywordsData 4,textFeatureComment,relatedKeywordsData 5,緯度,経度
103,レヴノワール,15,11,18.96,18.72812462,1,1,1680,1K,三鷹,4,南,東京都武蔵野市西久保2丁目,https://www.homes.co.jp/mansion/b-1392890000207/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fc5jf2ru2t29xexq.jpg&width=208&height=138,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fc5jf2ru2t29xexq.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1392890000207/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fum8q2ru2t29xexp.jpg,12,オートロック,,,,2005年3月完成物件、オートロック設置,,35.709557,139.558319
104,セザール第2立川,25,9,62.68,31.92562844,1,1,2,3LDK,立川,1,北東,東京都立川市錦町2丁目,https://www.homes.co.jp/mansion/b-1009480091317/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Flqga2rghjgdvyr9.jpg&width=208&height=138,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Flqga2rghjgdvyr9.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-35005080001052/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F4pmf3oxj3r6h4hd.jpg,21,駐車場あり,角部屋,,,戸建感覚のメゾネットタイプ 駅徒歩9分の通勤・通学に便利な立地 近隣には教育施設等充実の為住環境良好,,35.693604,139.415405
105,ディアスタ武蔵野マークテラス,5,14,76.97,18.72812462,1,1,6780,3LDK,三鷹,3,南東,東京都武蔵野市西久保3丁目,https://www.homes.co.jp/mansion/b-1000980052930/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F6gd52rg6oyvjr9l.jpg&width=208&height=138,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F6gd52rg6oyvjr9l.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1000980052930/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fnebw2rg6oyvjr9n.jpg,30,ペット相談可,エレベーター,スーパー800m以内,角部屋,JR中央線・JR総武線「三鷹」駅徒歩14分  南東・北西角部屋  ペット飼育可（細則有）  セキュリ,,35.711624,139.560074
106,ブランズ東中野プレミアム,9,2,64.49,7.768447716,1,0,6280,3LDK,東中野,1,南,東京都中野区東中野5丁目,https://www.homes.co.jp/mansion/b-1392810003655/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fpgxw2ru2pdz51ha.jpg&width=208&height=138,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fpgxw2ru2pdz51ha.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1392810003655/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fmxir2ru2pdz51h9.jpg,11,ペット相談可,オートロック,角部屋,,JR総武中央線「東中野」駅徒歩2分2012年2月完成,,35.708805,139.689224
107,フィールA飯田橋,17,5,56.41,2.983801459,1,0,5480,1LDK,飯田橋,1,南西,東京都新宿区新小川町3-33,https://www.homes.co.jp/mansion/b-1265610000796/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F9n532rpkdwfe22a.jpg&width=208&height=138,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F9n532rpkdwfe22a.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1265610000796/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fvznl2rpkdwfe22b.jpg,30,ペット相談可,駐車場あり,オートロック,エレベーター,飯田橋駅徒歩5分／ＷＩＣ・ＳＩＣ／階下住戸無し／ペット飼育可能／浴室・給湯器リフォーム後引き渡し,スーパー800m以内,35.705067,139.742279
108,マイキャッスル三鷹II,22,16,61.8,18.72812462,1,1,3,3LDK,三鷹,1,東,東京都三鷹市下連雀7丁目,https://www.homes.co.jp/mansion/b-1120410013036/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Foyxj2rkf3i70isy.jpg&width=208&height=138,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Foyxj2rkf3i70isy.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-8910081561/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fw4s62qh0pwiwhc6.jpg,20,駐車場あり,オートロック,エレベーター,スーパー800m以内,H10年5月築。7階建て1階部分。東向き。テラス、専用庭付。水廻り集中。オートロック。,駐車場あり,35.690144,139.561768
109,Near The Stationプラウドタワー武蔵小金井,12,1,60.38,23.60463644,1,0,5280,2LDK,武蔵小金井,7,南,東京都小金井市本町6丁目,https://www.homes.co.jp/mansion/b-8910080529/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fjmy72qh0pwiu9po.jpg&width=208&height=138,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fjmy72qh0pwiu9po.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-8910080529/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fvgot2qh0pwiu9ph.jpg,11,ペット相談可,駐車場あり,オートロック,エレベーター,警備員が24時間常駐の安全・安心なマンションです。 イトーヨーカドー直通の利便性,スーパー800m以内,35.69989,139.503159
110,フリーディオ上荻,22,6,29.25,13.47331293,1,1,2680,1K,荻窪,4,西,東京都杉並区上荻2丁目2-,https://www.homes.co.jp/mansion/b-1300370003786/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F0iji2rqsqr47y7e.jpg&width=208&height=138,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F0iji2rqsqr47y7e.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1300370003786/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fmhxn2rqsqr47y7d.jpg,14,オートロック,エレベーター,角部屋,,ルーフテラスつき、角部屋で陽当り良好な1Kの家具付き物件。「荻窪」駅徒歩6分。,,35.704758,139.614761
111,ライオンズスクエア小石川後楽園,17,10,65.18,2.983801459,1,0,3,2LDK,飯田橋,7,南西,東京都文京区水道1丁目2-17,https://www.homes.co.jp/mansion/b-1357690002332/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fnkq72rstvzwxs6p.jpg&width=208&height=138,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fnkq72rstvzwxs6p.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1357690002332/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fq9332rstvzwxs6r.jpg,24,ペット相談可,エレベーター,スーパー800m以内,リノベーション・リフォーム,・4駅7路線利用可能で交通アクセス良好・114世帯のビッグコミュニティ,駐車場あり,35.708881,139.742844
112,フリーディオ上荻,22,6,29.25,13.47331293,1,1,4,1K,荻窪,4,南,東京都杉並区上荻2丁目,https://www.homes.co.jp/mansion/b-1402400002374/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fq03f2ruexy2wifu.jpg&width=208&height=138,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fq03f2ruexy2wifu.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1216390011685/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fqoif2rntkrkbk39.jpg,30,オートロック,リノベーション・リフォーム,オートロック,エレベーター,O本日内覧可能／ルーフテラス・角部屋・リノベーション・オートロック・駅徒歩10分以内,スーパー800m以内,35.706997,139.612823
113,東小金井パーク・ホームズ,21,11,72.79,21.95318781,1,0,2,3SLDK,東小金井,1,南,東京都小金井市梶野町2丁目,https://www.homes.co.jp/mansion/b-1120410012767/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fpr3x2rkf3i6zy1q.jpg&width=208&height=138,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fpr3x2rkf3i6zy1q.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-8910079246/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F2kpf2qh0pwiripl.jpg,4,ペット相談可,エレベーター,エレベーター,,ワイドフロンテージ、アウトフレーム リビングダイニングの天井高が2．55ｍあります,,35.707436,139.530029
114,ライオンズガーデン小金井南,26,19,64.98,23.60463644,1,0,2490,3LDK,武蔵小金井,4,南,東京都小金井市前原町4丁目,https://www.homes.co.jp/mansion/b-1378000000386/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fiqzr2rtjt0xs7nt.jpg&width=208&height=138,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fiqzr2rtjt0xs7nt.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1378000000386/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F4kw82rtjt0xs7nu.jpg,15,オートロック,エレベーター,,,4階の南側バルコニーで陽当り・眺望良好 ＪＲ中央線武蔵小金井駅・京王線府中駅の複数駅・路線利用可,,35.688992,139.505386
115,武蔵野プリマベーラ,29,8,41.12,18.72812462,1,1,3450,1LDK,三鷹,1,南,東京都武蔵野市中町2丁目19-4,https://www.homes.co.jp/mansion/b-1312870000114/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fcski2rr8oztq7pl.jpg&width=208&height=138,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fcski2rr8oztq7pl.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1312870000114/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F49272rr8oztq7pn.jpg,21,リノベーション・リフォーム,スーパー800m以内,角部屋,,約20平米の専用庭付。プライベート感のある住戸です。2019年10月フルリノベーション完成,,35.705837,139.565765
116,ＪＲ中央線 東小金井駅 徒歩11分,21,11,72.79,21.95318781,1,0,3899,3SLDK,東小金井,1,南,東京都小金井市梶野町2丁目,https://www.homes.co.jp/mansion/b-1009480090943/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fzmk22rghjgdv5wd.jpg&width=208&height=138,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fzmk22rghjgdv5wd.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1009480090943/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fv2v82rghjgdv5we.jpg,25,,,,,リフォーム済 ご家族を近くに感じられる対面キッチン 収納に便利な納戸付 南向き広々バルコニー,,35.707436,139.530029
117,プラウドシティ武蔵野三鷹フロントコート棟,3,10,73.27,18.72812462,1,1,7380,3LDK,三鷹,2,南東,東京都武蔵野市中町3丁目,https://www.homes.co.jp/mansion/b-1120410013037/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fme232rkf3i70ivq.jpg&width=208&height=138,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fme232rkf3i70ivq.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1120410013037/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F1kvk2rkf3i70ivr.jpg,20,ペット相談可,オートロック,エレベーター,大規模マンション,2018年1月築、プラウドシティシリーズ  3路線2駅利用可能 敷地内に保育所・公園有り ペット可,,35.709667,139.566391
118,ベルハイム吉祥寺本町,23,10,55.91,17.02754961,1,0,5299,2LDK,吉祥寺,2,南東,東京都武蔵野市吉祥寺本町2丁目31-16,https://www.homes.co.jp/mansion/b-39042680003136/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F2dw23swngjdtptt.jpg&width=208&height=138,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F2dw23swngjdtptt.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1192950009187/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fwal42rmzny33c19.jpg,25,オートロック,エレベーター,,,,,35.707474,139.575912
119,ノバコスモ荻窪,23,4,45.44,13.47331293,1,1,4540,2DK,荻窪,5,北西,東京都杉並区上荻1丁目,https://www.homes.co.jp/mansion/b-1402400002282/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fhl902ruexy2wbca.jpg&width=208&height=138,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fhl902ruexy2wbca.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1402400002282/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fyv4u2ruexy2wbc9.jpg,17,オートロック,角部屋,,,～本日の見学可能～「荻窪」駅まで徒歩4分 平成築,,35.70602,139.617126
120,吉祥寺南町ガーデンハウス,22,12,80.38,17.02754961,1,0,7180,4LDK,吉祥寺,2,南西,東京都武蔵野市吉祥寺南町4丁目,https://www.homes.co.jp/mansion/b-1020740064585/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fbuq42rgvwqbmglh.jpg&width=208&height=138,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fbuq42rgvwqbmglh.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1020740064585/,,25,駐車場あり,,,,新規内装フルリノベーション ～下階に住戸がない角部屋4LDK～,,35.70042,139.589691
121,プロスペア武蔵小金井　4F,27,12,55.25,23.60463644,1,0,2,3DK,武蔵小金井,4,南,東京都小金井市貫井南町3丁目,https://www.homes.co.jp/mansion/b-8910081411/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fb42u2qh0pwiw5rh.jpg&width=208&height=138,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fb42u2qh0pwiw5rh.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-8910081411/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fp2ch2qh0pwiw5ri.jpg,8,スーパー800m以内,オートロック,エレベーター,,2016年内装リノヴェーション済。バルコニーでガーデニングが楽しめる広さが自慢です,,35.699196,139.495346
122,プラネスーペリア四番町,2,3,42.38,2.960147551,1,0,7600,1LDK,市ヶ谷,3,北東,東京都千代田区四番町,https://www.homes.co.jp/mansion/b-35005370000508/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F2ga23oxjh2salpu.jpg&width=208&height=138,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F2ga23oxjh2salpu.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-35005370000508/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F0qu93oxjh2salpt.jpg,21,,,,,,,35.689056,139.737854
123,ハイホーム昭和記念公園,21,15,82.47,31.92562844,1,1,3380,4LDK,立川,4,南,東京都立川市富士見町2丁目,https://www.homes.co.jp/mansion/b-1393120000126/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F4f372ru33mnj29m.jpg&width=208&height=138,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F4f372ru33mnj29m.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1393120000126/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F9d2h2ru33mnj29p.jpg,21,オートロック,エレベーター,角部屋,,2駅、4路線利用可4階 南向き 角住戸,,35.699802,139.402695
124,グランドメゾン南阿佐ヶ谷,25,10,61.26,12.12192561,1,0,4480,2LDK,阿佐ヶ谷,7,南西,東京都杉並区成田東5丁目,https://www.homes.co.jp/mansion/b-37052280000372/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F6o8h3qy3itopyz6.jpg&width=208&height=138,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F6o8h3qy3itopyz6.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-37052280000372/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F1gqq3qy3itopyz8.jpg,30,オートロック,エレベーター,スーパー800m以内,角部屋,平成7年6月築、住宅ローン控除適用可能物件、一部内装リフォーム,,35.699249,139.631912
125,セントエルモ三鷹下連雀,30,15,48.62,18.72812462,1,1,3498,2LDK,三鷹,4,南西,東京都三鷹市下連雀7丁目16-17,https://www.homes.co.jp/mansion/b-1372010000669/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Femi22rtc5uknzh6.jpg&width=208&height=138,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Femi22rtc5uknzh6.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1372010000669/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fmolx2rtc5uknzh1.jpg,30,リノベーション・リフォーム,ペット相談可,駐車場あり,エレベーター,安心の新耐震基準マンション。ウォークインクローゼット、リビング収納を設置しており、お部屋がすっきりと,スーパー800m以内,35.691906,139.560318
126,メインステージ荻窪,20,13,20.88,13.47331293,1,1,2,ワンルーム,荻窪,4,北西,東京都杉並区荻窪2丁目,https://www.homes.co.jp/mansion/b-1222410002633/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fptqh2ro19bj1eh1.jpg&width=208&height=138,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fptqh2ro19bj1eh1.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1222410002427/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Ffjgf2ro19bj0yku.jpg,7,オートロック,エレベーター,スーパー800m以内,オートロック,～「オーナチェンジ物件」無垢のアカシア材を使った風合い豊かな落ち着いた空間です～,エレベーター,35.69733,139.620575
127,国分寺パークホームズ,29,14,77.74,25.95603852,1,1,3480,3LDK,国分寺,2,南東,東京都国寺市東恋ヶ窪3丁目,https://www.homes.co.jp/mansion/b-1184720010606/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fpf4z2rmp5v685bu.jpg&width=208&height=138,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fpf4z2rmp5v685bu.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1184720010606/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Ftdxn2rmp5v685bt.jpg,20,オートロック,エレベーター,,,77.74平米の3LDKです。三井不動産旧分譲のマンション。お気軽にお問合せ下さい。,,35.710812,139.46228
128,三鷹パーク・ホームズ,29,18,67.68,18.72812462,1,1,3280,3LDK,三鷹,4,西,東京都三鷹市下連雀7丁目,https://www.homes.co.jp/mansion/b-1120410013065/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F43872rkf3i70l1i.jpg&width=208&height=138,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F43872rkf3i70l1i.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1120410013065/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fcoud2rkf3i70l1j.jpg,20,オートロック,エレベーター,角部屋,,室内写真有 リフォーム済のため、即入居可能 角住戸につき、開放感があります,,35.690144,139.561768
129,エスタシオン高円寺,19,1,55.67,10.8508634,1,0,5300,2LDK,高円寺,9,東,東京都杉並区高円寺北2丁目,https://www.homes.co.jp/mansion/b-37051760001649/,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fk72h3qy2uxpc8py.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-37051760001649/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fifax3qy2uxpc8pz.jpg,30,駐車場あり,オートロック,エレベーター,スーパー800m以内,入札物件～この部屋の価格は最低売却価格です。期日中に最も高い金額で入札した方が落札（交渉）権を得ます,角部屋,35.707531,139.6521
130,セレハウス阿佐谷,29,14,53.35,12.12192561,1,0,3980,2LDK,阿佐ヶ谷,4,東,東京都杉並区阿佐谷北4丁目,https://www.homes.co.jp/mansion/b-1140530009884/,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fmyqv2rl4rszofea.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1140530009884/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fzca52rl4rszofec.jpg,20,エレベーター,,,,中央線「阿佐ヶ谷」駅利用 食洗機付対面式キッチン ＷＩＣ付きで収納スペース豊富,,35.711918,139.636459
131,ヒルズ武蔵小金井参番館,29,15,62.05,23.60463644,1,0,2990,3LDK,武蔵小金井,2,南,東京都小金井市貫井南町3丁目,https://www.homes.co.jp/mansion/b-1020740064602/,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F776v2rgvwqbmhwp.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1020740064602/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fpba82rgvwqbmhwq.jpg,15,,,,,みつけたＳumai  ヒルズ武蔵小金井参番館,,35.699196,139.495346
132,国立市中1丁目　クリオ国立壱番館　4階,22,12,71.4,29.00351351,1,0,4090,3LDK,国立,4,南,東京都国立市中1丁目2-29,https://www.homes.co.jp/mansion/b-1394440000364/,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fve5i2ru4s9oxohw.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1394440000364/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F77sd2ru4s9oxohd.jpg,30,リノベーション・リフォーム,エレベーター,スーパー800m以内,角部屋,国立の穏やかな街並みを感じられる環境。目の前の「中ふれあい公園」はたくさんのお子様の声が聞こえます,,35.698803,139.438507
133,フェアロージュ三鷹,21,5,55.36,18.72812462,1,1,4980,2LDK,三鷹,2,南西,東京都三鷹市下連雀3丁目,https://www.homes.co.jp/mansion/b-1278120005558/,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F3bhs2rq0clorva2.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1278120005558/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fu4gg2rq0clorva1.jpg,30,駐車場あり,スーパー800m以内,,,商業施設も徒歩5分以内に有り、日々の暮らしは苦労する事が無い物件だと思っております。,,35.699108,139.562515
134,マイキャッスル立川,21,12,68.17,31.92562844,1,1,3590,3LDK,立川,1,南東,東京都立川市錦町3丁目,https://www.homes.co.jp/mansion/b-1216390011737/,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fcc812rntkrkbo3r.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1216390011737/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fhh6y2rntkrkbo3p.jpg,30,ペット相談可,駐車場あり,オートロック,角部屋,O本日・見学可能/角部屋3面採光/ペット可/WIC/ワイドスパンテラス/床暖房/宅配ボックスO,,35.692585,139.418442
135,プラウド武蔵小金井,15,11,75.38,23.60463644,1,0,5280,3LDK,武蔵小金井,2,南,東京都小金井市貫井南町3丁目22-27,https://www.homes.co.jp/mansion/b-1202980000320/,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fklac2rncgpuv8ya.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1202980000320/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fzhod2rncgpuv8xt.jpg,20,ペット相談可,駐車場あり,オートロック,エレベーター,売主物件・新規リノベーション（2019年12月完成）・家具付販売,,35.699574,139.4991
136,ネイバリングハウス荻窪,30,14,50.05,13.47331293,1,1,3780,2DK,荻窪,3,南東,東京都杉並区清水1丁目7-2,https://www.homes.co.jp/mansion/b-1385500002868/,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F7g7m2rttdkkkevm.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1385500002868/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F6vmg2rttdkkkevo.jpg,20,リノベーション・リフォーム,オートロック,角部屋,,キャンペーン対象物件・下記にある備考欄をご確認ください。空室の場合は、即ご案内可,,35.709766,139.618286
137,ザ・ロアハウス西荻窪,9,11,80.4,15.29485589,1,0,5499,3SLDK,西荻窪,1,南西,東京都杉並区西荻南4丁目9-2,https://www.homes.co.jp/mansion/b-1372010000631/,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F2xb72rtc5uknwjm.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1372010000631/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fw9nj2rtc5uknwjh.jpg,30,リノベーション・リフォーム,ペット相談可,スーパー800m以内,角部屋,広々80平米超。南東・南西角部屋につき陽当たり良好。床暖房やミストサウナなど設備充実。,,35.70013,139.606171
