id,bukkenName,years,minutes,sqrm,distance,renovate,express,price,rooms,station,floar,windowFacing,address,prg-bukkenNameAnchor href,prg-lazy src,photo-https,displayContainer href,displayPic -https,raSpecRow,relatedKeywordsData,relatedKeywordsData 2,relatedKeywordsData 3,relatedKeywordsData 4,textFeatureComment,relatedKeywordsData 5,緯度,経度
36,ヴェルト高円寺,14,10,39.49,10.8508634,1,0,2680,1LDK,高円寺,5,東,東京都中野区大和町1丁目,https://www.homes.co.jp/mansion/b-1402400002079/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fjf9x2ruexy2vvof.jpg&width=208&height=138,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fjf9x2ruexy2vvof.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1402400002079/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fapkv2ruexy2vvod.jpg,20,最上階,,,,～本日の見学可能～最上階・角部屋で陽当たり・風通しの良い部屋です「高円寺」駅徒歩10分の好立地,,35.711601,139.651886
37,ライトコート四谷,13,10,65.21,3.246960267,1,1,5980,2LDK,四ツ谷,1,北西,東京都新宿区若葉,https://www.homes.co.jp/mansion/b-1041110041623/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fizb42rhlwijgo3h.jpg&width=208&height=138,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fizb42rhlwijgo3h.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1041110041623/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Faiij2rhlwijgo3i.jpg,6,オートロック,エレベーター,,,ローン紹介可能。（詳細は当社まで）,,35.682625,139.724304
38,ガラ・ステージ高円寺,17,7,33.64,10.8508634,1,0,2980,ワンルーム,高円寺,3,北西,東京都中野区大和町1丁目,https://www.homes.co.jp/mansion/b-1392810003683/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fusol2ru2pdz53n2.jpg&width=208&height=138,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fusol2ru2pdz53n2.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1392810003683/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Ft0cy2ru2pdz53n1.jpg,21,オートロック,エレベーター,角部屋,,JR中央線「高円寺」駅徒歩7分,,35.711601,139.651886
39,エテルノ荻窪,12,12,39.35,13.47331293,1,1,2590,1DK,荻窪,5,南西,東京都杉並区上荻2丁目,https://www.homes.co.jp/mansion/b-1392890000008/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fh68k2ru2t29wzky.jpg&width=208&height=138,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fh68k2ru2t29wzky.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1392890000008/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F86kn2ru2t29wzkx.jpg,11,オートロック,エレベーター,,,オーナーチェンジ物件,,35.706997,139.612823
40,フォーリアグレイス三鷹禅林寺通り,11,6,60.94,18.72812462,1,1,4600,2LDK,三鷹,2,西,東京都三鷹市下連雀3丁目,https://www.homes.co.jp/mansion/b-1120410012869/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fc0dy2rkf3i705x2.jpg&width=208&height=138,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fc0dy2rkf3i705x2.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1120410012869/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fut6l2rkf3i705x1.jpg,16,ペット相談可,オートロック,エレベーター,角部屋,平成21年8月築、ペットと暮らせるマンション LD部分に床暖房有 角住戸につき、開放感有り,,35.699108,139.562515
41,デライトシティ　ブレスコート,16,10,81.04,20.15478498,1,0,5650,3LDK,武蔵境,10,南,東京都武蔵野市境5丁目,https://www.homes.co.jp/mansion/b-1120410012677/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Favdb2rkf3i6zr3q.jpg&width=208&height=138,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Favdb2rkf3i6zr3q.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1120410012677/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F5b682rkf3i6zr3r.jpg,20,ペット相談可,駐車場あり,オートロック,エレベーター,10階部分南向きバルコニーにつき、陽当り良好 充実の共用施設 ペットと暮らせるマンション,大規模マンション,35.704575,139.535294
42,レクシオ立川,15,13,66.67,31.92562844,1,1,2,2LDK,立川,1,南,東京都立川市羽衣町1丁目,https://www.homes.co.jp/mansion/b-1184720009720/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F4rpa2rmp5v668yq.jpg&width=208&height=138,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F4rpa2rmp5v668yq.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1184720009720/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F3pfs2rmp5v668yp.jpg,20,オートロック,角部屋,オートロック,角部屋,2005年3月築、オートロック・宅配ボックス付。主寝室7畳・WIC付です。お気軽にお問合せ下さい。,,35.69577,139.424835
43,スカイコート神田弐番館,15,2,29.75,1.223423006,1,1,2900,ワンルーム,神田,5,南西,東京都千代田区神田多町2丁目1-3,https://www.homes.co.jp/mansion/b-1310050000482/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fs8d22rr53g28bih.jpg&width=208&height=138,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fs8d22rr53g28bih.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1310050000482/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fzyud2rr53g28bii.jpg,8,エレベーター,スーパー800m以内,,,,,35.693218,139.769333
44,吉祥寺レジデンシア,10,13,86.01,17.02754961,1,0,7580,3LDK,吉祥寺,4,西,東京都武蔵野市吉祥寺東町3丁目,https://www.homes.co.jp/mansion/b-1278120005478/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fwxag2rq0clorp3u.jpg&width=208&height=138,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fwxag2rq0clorp3u.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1278120005478/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fiqps2rq0clorp3w.jpg,25,ペット相談可,駐車場あり,オートロック,エレベーター,平成22年築のハイグレードマンションです。快適に暮らせる設備・周辺施設が整っております。,大規模マンション,35.706154,139.589233
45,デュアレス千代田三崎町,5,3,47.48,2.552352467,1,0,5470,1LDK,水道橋,6,南西,東京都千代田区神田三崎町3丁目,https://www.homes.co.jp/mansion/b-1199950003953/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F55nn2rn8lispgyt.jpg&width=208&height=138,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F55nn2rn8lispgyt.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1199950003953/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fodra2rn8lispgyu.jpg,5,ペット相談可,オートロック,エレベーター,角部屋,弊社のみ取扱い可能物件 千代田区アドレス×築4年の築浅物件表面利回り約5.0%,,35.700542,139.752258
