,uid,years,minutes,sqrm,distance,renovate,express,price,predict
751,13114-582,43,6,40,9.492733962,0,1,22000000,21669660.784231797
752,13114-583,10,5,40,9.492733962,1,1,39000000,44324533.90966382
753,13114-589,15,7,80,9.492733962,0,1,67000000,66043030.97599024
754,13114-590,10,6,30,9.492733962,0,1,23000000,32545232.364196125
755,13114-591,48,0,40,9.492733962,0,1,9700000,24986234.399314888
756,13114-592,10,5,30,9.492733962,0,1,20000000,33560970.64793578
757,13114-593,6,5,60,9.492733962,0,1,60000000,58158091.30755285
758,13114-599,43,6,30,9.492733962,1,1,25000000,17516666.85280438
759,13114-600,19,4,25,9.492733962,0,1,24000000,25847428.676147833
760,13114-602,10,6,30,9.492733962,0,1,29000000,32545232.364196125
761,13114-603,6,5,65,9.492733962,0,1,59000000,61887230.60584172
762,13114-604,18,4,20,9.492733962,0,1,17000000,22673860.59532994
763,13114-608,18,4,20,9.492733962,0,1,21000000,22673860.59532994
764,13114-609,29,4,15,9.492733962,0,1,12000000,12833437.904860392
765,13114-610,13,5,20,9.492733962,0,1,20000000,24435978.398945138
766,13114-621,10,6,35,9.492733962,0,1,30000000,36274371.66248499
767,13114-622,50,3,30,9.492733962,0,1,9300000,13369598.516576242
768,13114-623,18,4,20,9.492733962,0,1,21000000,22673860.59532994
769,13114-627,18,3,20,9.492733962,1,1,16000000,26994883.544219907
770,13114-628,43,6,30,9.492733962,1,1,19000000,17516666.85280438
771,13114-629,50,2,30,9.492733962,0,1,13000000,14385336.800315902
